city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,Year
Beijing,20-04-2020,270,62.9,48,22.4,32.4,-0.2,51,11,Urban,287,2020
Delhi,21-04-2020,16,29.7,66.2,43.1,38.3,34,33,3,Urban,1628,2020
Beijing,22-04-2020,64,37.8,52,39.4,22.4,27.7,67,4,Rural,1280,2020
Mexico City,23-04-2020,21,15.4,56.8,36.3,24,30.5,67,2,Suburban,1122,2020
Delhi,24-04-2020,129,42.2,58.2,24.4,35.5,33.8,73,4,Suburban,1013,2020
London,25-04-2020,123,50,34.8,32.4,35.6,15.5,52,13,Urban,1473,2020
Los Angeles,26-04-2020,69,21.9,40.8,38.5,33.1,14.2,66,11,Rural,1075,2020
Los Angeles,27-04-2020,382,33.2,83.7,23,38.7,-3.7,40,15,Urban,471,2020
Beijing,28-04-2020,149,20.3,2.9,7.7,46.5,36.7,46,10,Suburban,1709,2020
Mexico City,29-04-2020,499,31.7,35.3,25.1,21.8,-1,50,3,Urban,1394,2020
Mexico City,30-04-2020,40,48.4,82.5,27.1,59.1,29.4,59,7,Suburban,1227,2020
Mexico City,01-05-2020,90,65.1,31,35.2,41.7,39.6,27,11,Suburban,1628,2020
Delhi,02-05-2020,325,45.9,69.5,39.9,31.3,22.1,48,10,Urban,1141,2020
Beijing,03-05-2020,145,16.2,39.3,29.5,39.7,24.1,38,6,Rural,446,2020
Delhi,04-05-2020,422,33.3,76.5,27.2,46.8,5.3,25,9,Urban,1620,2020
Beijing,05-05-2020,431,46.1,66.7,20.6,44.7,31.8,49,11,Urban,1381,2020
Beijing,06-05-2020,178,11.3,65.7,19.1,49.4,13.7,70,2,Suburban,574,2020
Delhi,07-05-2020,325,39.7,54.9,41.1,27.9,5.6,27,10,Urban,1192,2020
Delhi,08-05-2020,223,37.6,53.5,40.1,40.3,16.3,39,11,Suburban,689,2020
Mexico City,09-05-2020,155,67,27.8,10.6,55.7,5.3,45,13,Urban,276,2020
Delhi,10-05-2020,28,35,43.8,40.8,30.4,28.5,76,9,Urban,974,2020
Tokyo,11-05-2020,349,57.2,14.9,34.8,51.9,22.9,36,8,Urban,480,2020
Beijing,13-05-2020,89,45,66.1,37.4,41.8,4.4,55,11,Urban,975,2020
Mexico City,14-05-2020,61,40,64.9,26.8,34,20.3,29,15,Suburban,1110,2020
Delhi,15-05-2020,355,60.6,16.6,14.2,44.8,35.7,52,12,Suburban,589,2020
Cairo,16-05-2020,190,56,49.7,46.3,46.5,21.9,38,11,Suburban,808,2020
Beijing,17-05-2020,54,28.2,64.1,40.3,53.2,-0.6,85,13,Suburban,794,2020
Los Angeles,18-05-2020,281,11.9,20.8,26.2,44.9,16.8,77,3,Suburban,596,2020
Delhi,19-05-2020,286,48.2,71.8,44.1,48.3,7.8,51,6,Suburban,970,2020
Beijing,20-05-2020,413,60.8,53.1,43.2,13,25.2,64,9,Urban,523,2020
Beijing,21-05-2020,244,12.1,67,46.2,38.2,32.4,56,3,Urban,140,2020
Tokyo,22-05-2020,97,61.5,47.8,26.7,23.8,33.1,63,10,Suburban,368,2020
Mexico City,23-05-2020,218,22.5,35.1,31.4,62,11.1,39,6,Urban,1770,2020
Beijing,24-05-2020,363,55.7,30.9,26,20.6,24.3,60,9,Suburban,772,2020
Delhi,25-05-2020,273,34.5,46.3,26.7,56.7,23.2,51,7,Urban,1000,2020
Beijing,26-05-2020,137,54.1,75,25.2,45.5,11.7,58,5,Urban,505,2020
Beijing,27-05-2020,494,41.4,84.6,26,46.2,13.3,41,12,Rural,1308,2020
Beijing,28-05-2020,433,51.3,44.5,32.8,49.1,2.9,40,8,Urban,1673,2020
Delhi,29-05-2020,267,30,78.5,20.8,33.2,0.7,92,11,Urban,234,2020
London,30-05-2020,402,14.6,73.6,30.3,28.1,36.9,38,5,Urban,141,2020
Tokyo,31-05-2020,76,51.4,51.4,39,21.6,34.7,50,4,Suburban,1884,2020
Delhi,01-06-2020,375,51.9,62.8,21.6,18.4,26.7,66,11,Suburban,863,2020
Mexico City,02-06-2020,95,29.2,34.2,41.1,37.7,34.3,63,8,Urban,1193,2020
Delhi,03-06-2020,409,41.5,60,27.7,28.4,39.5,65,15,Urban,82,2020
Mexico City,04-06-2020,120,26.7,87.5,32.7,36,8.9,71,6,Urban,364,2020
Delhi,05-06-2020,271,13.9,39.8,48.6,54.5,0.8,23,2,Urban,1662,2020
Mexico City,06-06-2020,365,40.6,33.9,19.5,37.3,-2.7,72,6,Urban,594,2020
Los Angeles,07-06-2020,12,44.7,58.3,28.9,68.6,14.6,74,3,Urban,334,2020
Los Angeles,08-06-2020,92,29.4,65.5,19.7,31.8,-2.9,38,10,Urban,1196,2020
Delhi,09-06-2020,110,54.6,69.1,44.5,36.7,15.6,63,14,Suburban,75,2020
Tokyo,10-06-2020,103,23.1,21.9,48,15,29.5,23,7,Rural,1381,2020
Delhi,11-06-2020,393,53.4,16.7,26.5,33.2,39.2,68,9,Urban,1226,2020
Delhi,12-06-2020,489,18.3,21.6,22.7,40.2,37.3,58,9,Suburban,1796,2020
Mexico City,13-06-2020,208,42.2,58.7,28.3,32.7,38,93,2,Urban,1565,2020
Beijing,14-06-2020,378,36.7,56.4,35.4,68.8,-3.6,73,7,Urban,1954,2020
London,15-06-2020,112,49.9,27,43.4,39.8,24.3,23,8,Urban,1384,2020
London,16-06-2020,190,41.3,36.9,32.3,26.7,1.6,42,13,Urban,470,2020
Beijing,17-06-2020,82,41.6,32.3,22.1,23.6,3.5,47,12,Urban,1617,2020
Cairo,18-06-2020,292,34.8,81.8,32.2,34.3,17.3,64,8,Urban,1383,2020
Delhi,19-06-2020,144,43.5,59,46.5,54.3,35.2,80,6,Urban,597,2020
Beijing,20-06-2020,233,16.4,33.7,27.2,50.4,28.2,41,4,Urban,1652,2020
Delhi,21-06-2020,336,0.3,64.3,39,23.3,29.6,38,3,Suburban,1072,2020
Tokyo,22-06-2020,308,64.9,72.5,15.4,21.6,17.9,24,15,Suburban,722,2020
Delhi,23-06-2020,222,10,32.8,19.9,23.3,8,33,3,Urban,534,2020
Delhi,24-06-2020,476,62,24.8,31.8,34.8,6.5,66,12,Urban,225,2020
Beijing,25-06-2020,444,24.3,52.9,34.3,27.7,19.9,56,4,Suburban,1261,2020
Tokyo,27-06-2020,16,56.3,41.2,34.1,33.2,29.1,35,14,Urban,1448,2020
Los Angeles,28-06-2020,261,33.3,41.5,21,25.3,5,78,8,Suburban,1537,2020
Tokyo,29-06-2020,492,33.4,46.5,20.1,46.9,-3.8,36,10,Urban,1027,2020
Tokyo,30-06-2020,73,24.9,56.2,18.8,37.5,37.3,54,8,Urban,453,2020
Beijing,01-07-2020,279,35.7,61.4,40.7,32.3,23.8,77,5,Rural,1823,2020
Beijing,02-07-2020,31,40.1,72.5,28.9,40.8,21.6,27,6,Urban,1034,2020
Los Angeles,03-07-2020,357,67.3,41.1,27.5,43.9,12.9,49,10,Rural,1179,2020
Mexico City,04-07-2020,243,7.9,34.1,29.6,33.6,7.4,67,4,Suburban,660,2020
Beijing,05-07-2020,121,32.9,47.9,29.4,39.5,8.4,55,9,Urban,852,2020
Delhi,06-07-2020,33,46.3,19.2,27.3,19.7,39.3,28,10,Urban,251,2020
Los Angeles,07-07-2020,56,15.6,71.2,23.4,18.2,39.3,70,4,Suburban,506,2020
Delhi,08-07-2020,490,52.6,53.2,33.3,38.8,16,31,8,Suburban,1725,2020
Tokyo,09-07-2020,426,54.3,54.2,15.3,35.8,28.6,56,12,Urban,272,2020
Delhi,10-07-2020,252,47.9,19.7,25.6,54.4,13.3,73,10,Urban,1214,2020
Delhi,11-07-2020,471,29,26.5,53,39.4,6.2,70,13,Urban,1135,2020
London,12-07-2020,80,48.4,33.3,47.5,43.9,11.1,30,7,Urban,938,2020
Delhi,13-07-2020,34,33,84.3,21.8,35.4,-3.5,29,13,Suburban,836,2020
Delhi,14-07-2020,116,29.4,58.3,35.1,34.6,31.3,32,11,Urban,256,2020
Mexico City,15-07-2020,220,47.3,63.2,24.3,63,23.2,36,7,Urban,1746,2020
London,16-07-2020,113,27.8,36.8,33.6,38.4,1,80,10,Rural,1515,2020
Delhi,17-07-2020,479,49.2,67.1,46.4,53.8,25.6,84,9,Urban,1208,2020
Beijing,18-07-2020,256,49,45.6,28.7,59.2,37.9,50,10,Suburban,979,2020
Los Angeles,19-07-2020,118,51.8,48.3,20.8,38,-1.1,78,9,Urban,1995,2020
Cairo,20-07-2020,220,24.1,57.6,27.3,53.9,28.9,50,3,Urban,1180,2020
Beijing,21-07-2020,494,44.1,73.8,34.3,34.8,34.4,82,10,Suburban,1037,2020
Delhi,22-07-2020,313,30.9,60.7,24.8,63,16.9,46,5,Suburban,104,2020
Delhi,23-07-2020,50,67,87.3,35,45.9,13.8,63,9,Suburban,1532,2020
Delhi,24-07-2020,200,15.5,84.5,19.5,39.6,11,77,10,Urban,1795,2020
Delhi,25-07-2020,450,37.4,73.6,23.6,39.3,24.6,65,4,Urban,1980,2020
Mexico City,26-07-2020,337,34,53.7,30.6,56.8,26.7,49,6,Rural,1521,2020
Delhi,27-07-2020,311,35.7,79,31.5,34.2,36.3,27,12,Urban,322,2020
Beijing,28-07-2020,188,16,30.9,25.6,55,9,31,9,Suburban,510,2020
Mexico City,29-07-2020,456,23.9,13.4,37.9,41.5,33.7,48,6,Urban,1886,2020
Mexico City,30-07-2020,153,14.4,60.7,15.5,17.4,20.3,26,6,Urban,1451,2020
Delhi,31-07-2020,95,13.8,73.3,37.4,16.3,5.7,50,5,Urban,488,2020
London,01-08-2020,20,30.1,28,29.9,35.6,0.2,93,8,Suburban,1086,2020
Los Angeles,02-08-2020,375,70.1,30,26,28.1,0.7,42,14,Suburban,852,2020
Los Angeles,03-08-2020,397,48.3,63.2,22.3,24.1,23,60,12,Rural,1560,2020
Delhi,04-08-2020,19,25.4,53.8,23.2,41.8,17.1,36,9,Urban,1618,2020
Delhi,05-08-2020,251,32.9,52.2,33.5,38.6,6.1,54,8,Urban,134,2020
Tokyo,06-08-2020,121,17.8,59.8,31.9,54.4,-0.5,57,4,Urban,1640,2020
Beijing,07-08-2020,99,4.6,74,22.7,39.2,40,51,6,Urban,862,2020
Beijing,08-08-2020,449,35.8,39.6,38.7,43,0,29,3,Suburban,206,2020
Beijing,09-08-2020,229,31.9,44.6,23.8,36.2,23.1,44,2,Urban,1881,2020
Mexico City,10-08-2020,336,32.4,54.4,11.5,30.1,30.2,68,5,Urban,1592,2020
Cairo,11-08-2020,164,28.6,37.8,16,46.4,10.7,74,13,Suburban,573,2020
Delhi,12-08-2020,339,27.8,25.7,43.3,58.2,3.1,79,7,Urban,132,2020
Tokyo,13-08-2020,107,42.6,57,37.9,43.5,-0.5,57,7,Urban,641,2020
Delhi,14-08-2020,214,18.6,10,22,44.5,-1.9,64,6,Urban,182,2020
Mexico City,16-08-2020,94,9.1,43.3,42.5,35,20.1,57,7,Urban,1831,2020
Delhi,17-08-2020,232,63.7,46.4,45.2,46.6,13.3,34,12,Urban,1094,2020
Delhi,18-08-2020,262,46.5,17.9,30.2,30.2,27.1,25,13,Urban,1720,2020
Beijing,19-08-2020,215,25.3,41.5,31.1,36.9,-3.8,77,4,Urban,972,2020
Cairo,20-08-2020,129,29.9,46.9,31,31,-3.6,69,8,Urban,1842,2020
Mexico City,21-08-2020,234,47,52.7,25.3,42.6,23.6,52,7,Urban,1679,2020
Tokyo,22-08-2020,126,49.1,49.2,4.4,29.6,21.7,45,6,Suburban,1363,2020
London,23-08-2020,326,26.9,53.3,34.7,42.8,30.8,34,4,Urban,1852,2020
Beijing,24-08-2020,147,26.8,34.4,31.2,38,27.6,87,7,Urban,166,2020
Los Angeles,25-08-2020,399,26,32.6,38.9,23.3,-4.3,86,3,Urban,570,2020
Delhi,26-08-2020,152,46,30.2,35.1,60.7,-2.1,24,11,Urban,1858,2020
Delhi,27-08-2020,231,30.9,51.8,46.9,25.6,9.3,35,14,Suburban,285,2020
London,28-08-2020,251,43.1,75.3,20.1,29.6,35.5,39,6,Urban,367,2020
Los Angeles,29-08-2020,271,40.9,5.7,14.4,45.3,34,78,2,Rural,1112,2020
Delhi,30-08-2020,76,28.8,74.7,45.3,45.7,27,34,7,Rural,378,2020
Beijing,31-08-2020,322,15.3,80.1,13.7,27.2,37,78,6,Urban,1688,2020
Mexico City,01-09-2020,262,50.9,7.5,20.4,56.8,9.4,22,9,Suburban,1982,2020
London,02-09-2020,87,37.1,72.6,47.1,15.4,9.9,72,14,Suburban,330,2020
Mexico City,03-09-2020,316,38,59.1,22.8,24.5,14.8,26,10,Suburban,1889,2020
Beijing,04-09-2020,385,34.8,57.2,50.2,48,6.1,26,10,Urban,710,2020
Beijing,05-09-2020,244,16.4,60.3,39.1,40.1,34.8,65,5,Suburban,1537,2020
Beijing,06-09-2020,16,29,18.5,37.2,16.5,16.7,25,6,Urban,538,2020
Mexico City,07-09-2020,339,39.1,45,30.8,37.4,29.6,81,9,Urban,1947,2020
London,08-09-2020,118,27.1,25.1,12.1,44.7,38.1,29,5,Urban,1907,2020
Beijing,09-09-2020,307,40.6,53.5,25.2,44.9,24.1,21,7,Urban,1370,2020
Delhi,10-09-2020,492,33.1,8.3,34.3,38.4,35.7,86,6,Urban,305,2020
Delhi,11-09-2020,162,14.4,59.7,44.3,20.9,0,87,7,Urban,112,2020
Los Angeles,12-09-2020,312,7.4,60.5,28.1,46.7,37.5,76,8,Suburban,587,2020
Delhi,14-09-2020,210,23.1,14.4,37.7,42.2,11.2,42,8,Urban,1626,2020
Delhi,15-09-2020,204,30.6,48.9,31.6,35.3,38.9,40,8,Suburban,1317,2020
Mexico City,16-09-2020,368,22.5,34.8,36.5,49.1,13.2,67,10,Urban,575,2020
Delhi,17-09-2020,491,50.5,48.1,32.9,58.4,6.5,79,6,Suburban,1354,2020
London,18-09-2020,195,14.7,19.8,52.4,56.6,16.9,50,1,Urban,694,2020
Delhi,20-09-2020,180,13.9,12.2,31.4,27.6,35.9,46,2,Urban,1703,2020
Tokyo,21-09-2020,105,43.6,77.1,20.1,50.9,24.6,94,11,Suburban,1700,2020
Delhi,22-09-2020,375,32.6,46.5,26.3,31.1,9.6,21,2,Urban,1865,2020
Delhi,23-09-2020,11,36.3,55.7,38.8,14.5,13.1,46,9,Urban,1096,2020
Delhi,24-09-2020,233,39.3,65,37.3,31.4,6.5,69,2,Suburban,1106,2020
Delhi,25-09-2020,354,32.4,52.6,17.5,32.8,23.4,75,10,Suburban,1997,2020
Delhi,26-09-2020,235,45.2,73.7,31.5,45.7,8.3,71,10,Urban,1136,2020
Delhi,27-09-2020,51,28.6,54.7,25.9,35,6.6,37,9,Suburban,1019,2020
Delhi,28-09-2020,55,16.9,81.9,39.2,39.6,-2,47,10,Suburban,612,2020
Delhi,29-09-2020,179,27.9,43.2,52.7,16.8,26.7,52,5,Suburban,1172,2020
Mexico City,30-09-2020,412,28.6,29.8,38.9,25.7,25.2,34,8,Urban,415,2020
Mexico City,01-10-2020,139,38.4,56.7,20.4,37.1,-2.3,70,0,Suburban,1123,2020
Beijing,02-10-2020,173,17.9,65.4,30.9,33.5,0.8,24,12,Suburban,334,2020
Beijing,03-10-2020,444,48.9,32.2,18.8,24.2,11.3,26,10,Suburban,1743,2020
Beijing,04-10-2020,282,54.8,29.7,14.8,56.7,19.7,75,9,Rural,947,2020
London,05-10-2020,459,30.6,10.1,40.4,37.3,19.9,28,7,Urban,245,2020
London,06-10-2020,204,43.5,67.2,21.9,23.7,26.1,82,6,Urban,662,2020
Delhi,08-10-2020,304,37.4,25.8,33.6,48.9,38.8,90,10,Suburban,62,2020
Delhi,09-10-2020,398,16.1,33.1,44,57.8,-4.7,66,8,Urban,485,2020
Delhi,10-10-2020,263,30.1,50.9,41.1,46.2,37.7,31,12,Urban,1352,2020
Mexico City,11-10-2020,203,25.3,52.5,40.5,40.5,1.6,88,6,Urban,1088,2020
Beijing,12-10-2020,479,38.4,77.8,16.7,22.1,12.4,60,10,Suburban,552,2020
Delhi,13-10-2020,157,52.9,56.7,29.3,27.7,39,28,13,Suburban,944,2020
Beijing,14-10-2020,478,8.3,52.6,52.4,12.4,25.8,26,0,Suburban,491,2020
Beijing,15-10-2020,347,55.1,22.6,28.2,46.4,0.5,56,10,Suburban,1566,2020
Delhi,16-10-2020,85,38.8,38.1,26,24.3,25.4,72,11,Urban,1614,2020
London,17-10-2020,337,45.6,72.6,21.2,25.5,6.6,27,7,Urban,388,2020
Delhi,18-10-2020,446,41.5,28.9,41.8,22.5,34.4,54,8,Rural,201,2020
Tokyo,19-10-2020,66,25.5,61.5,36.9,58.6,15.5,61,13,Urban,1132,2020
Delhi,20-10-2020,219,42.2,45.2,10.2,57.4,33.6,73,12,Urban,219,2020
London,21-10-2020,442,50.4,46,41.7,56.6,-3.3,67,15,Urban,1041,2020
Tokyo,22-10-2020,234,53.4,26.5,32.4,18.6,25,69,13,Urban,1202,2020
London,24-10-2020,369,27.6,47.1,21.8,43.4,9.3,93,0,Urban,1054,2020
Los Angeles,25-10-2020,33,54.9,17.5,35.8,43.9,11.4,41,10,Urban,252,2020
Mexico City,26-10-2020,253,50.9,2.7,21.4,53.2,11.9,23,8,Suburban,1583,2020
Delhi,28-10-2020,359,17.3,31.3,11,38.1,27.7,50,6,Urban,1004,2020
Beijing,29-10-2020,263,27.1,44.4,43.4,51.3,9.9,50,9,Urban,225,2020
Beijing,30-10-2020,209,37.2,31.9,25.7,30.7,36,23,7,Urban,1929,2020
